lga_code_2021,lga_name_2021,greater_melbourne
10050,Albury,FALSE
10180,Armidale Regional,FALSE
10250,Ballina,FALSE
10300,Balranald,FALSE
10470,Bathurst Regional,FALSE
10500,Bayside (NSW),FALSE
10550,Bega Valley,FALSE
10600,Bellingen,FALSE
10650,Berrigan,FALSE
10750,Blacktown,FALSE
10800,Bland,FALSE
10850,Blayney,FALSE
10900,Blue Mountains,FALSE
10950,Bogan,FALSE
11150,Bourke,FALSE
11200,Brewarrina,FALSE
11250,Broken Hill,FALSE
11300,Burwood,FALSE
11350,Byron,FALSE
11400,Cabonne,FALSE
11450,Camden,FALSE
11500,Campbelltown (NSW),FALSE
11520,Canada Bay,FALSE
11570,Canterbury-Bankstown,FALSE
11600,Carrathool,FALSE
11650,Central Coast (NSW),FALSE
11700,Central Darling,FALSE
11720,Cessnock,FALSE
11730,Clarence Valley,FALSE
11750,Cobar,FALSE
11800,Coffs Harbour,FALSE
12000,Coolamon,FALSE
12150,Coonamble,FALSE
12160,Cootamundra-Gundagai Regional,FALSE
12350,Cowra,FALSE
12380,Cumberland,FALSE
12390,Dubbo Regional,FALSE
12700,Dungog,FALSE
12730,Edward River,FALSE
12750,Eurobodalla,FALSE
12850,Fairfield,FALSE
12870,Federation,FALSE
12900,Forbes,FALSE
12930,Georges River,FALSE
12950,Gilgandra,FALSE
13010,Glen Innes Severn,FALSE
13310,Goulburn Mulwaree,FALSE
13340,Greater Hume Shire,FALSE
13450,Griffith,FALSE
13550,Gunnedah,FALSE
13660,Gwydir,FALSE
13800,Hawkesbury,FALSE
13850,Hay,FALSE
13910,Hilltops,FALSE
14000,Hornsby,FALSE
14100,Hunters Hill,FALSE
14170,Inner West,FALSE
14220,Inverell,FALSE
14300,Junee,FALSE
14350,Kempsey,FALSE
14400,Kiama,FALSE
14500,Ku-ring-gai,FALSE
14550,Kyogle,FALSE
14600,Lachlan,FALSE
14650,Lake Macquarie,FALSE
14700,Lane Cove,FALSE
14750,Leeton,FALSE
