sa1_code_2016;Total
20101100101;1,63018871494294e+02
20101100102;1,87029150120960e+02
20101100105;5,75823843573443e+01
20101100106;1,40829205814592e+02
20101100107;3,26164328516432e+02
20101100108;1,00618983300617e+02
20101100109;2,28812923320177e+02
20101100110;7,69136682732154e+01
20101100111;7,15630863528112e+01
20101100112;1,03254079809581e+02
20101100113;1,23388194321106e+02
20101100114;1,28119726260018e+02
20101100115;6,17929202469201e-01
20101100117;3,45431605131561e+01
20101100118;5,46180609265200e-03
20101100119;1,58660774836612e+00
20101100120;1,46663639714058e+02
20101100121;1,15487999022217e-01
20101100122;6,95759430542447e-01
20101100123;9,05904567576815e+00
20101100124;8,32693632023559e+01
20101100201;9,64313988309420e+00
20101100202;6,87788422971239e+01
20101100203;7,87827808927673e+01
20101100204;1,51950070228338e+02
20101100205;9,87557700101392e+01
20101100206;1,00748672281686e+02
20101100207;2,01639295331258e+02
20101100208;1,40553217288010e+02
20101100209;3,69881111134490e+01
20101100210;3,89616110225801e+01
20101100211;7,51041824090546e+01
20101100212;4,43613367567373e+02
20101100213;4,40863049410416e+02
20101100214;2,07457149108573e+02
20101100215;2,40676415525664e+02
20101100216;1,49665495153223e+02
20101100217;7,67682115431986e+02
20101100218;5,84844726914861e+02
20101100219;1,06175450167520e+03
20101100220;2,31372898740878e+02
20101100221;4,72419123063258e+02
20101100222;1,89187599526416e+02
20101100223;2,71419363960322e+02
20101100224;4,62466182012934e+02
20101100225;2,30728961961105e+02
20101100226;1,04712723183753e+03
20101100227;3,14102324435548e+02
20101100228;3,39399209714777e+02
20101100229;4,10992709821562e+02
20101100230;1,33452681463491e+02
20101100231;3,09751645719437e+02
20101100232;3,17732279147005e+02
20101100233;5,47375892869299e+02
20101100234;7,73206892923959e+02
20101100301;4,99831572996103e-01
20101100302;2,46113215423537e+02
20101100303;7,56194760565767e+02
20101100304;2,44554527808579e+02
20101100305;3,00812375891600e+02
20101100306;1,14650915743259e+02
20101100307;2,85106114156599e+02
20101100308;1,69112454094785e+02
20101100309;1,04844183512758e+01
20101100310;1,64392551993482e+02
20101100311;0,00000000000000e+00
20101100312;1,92807083717916e-01
20101100313;4,09741183813194e+01
20101100314;8,67839492601045e+01
20101100315;6,54632590635314e+01
20101100316;1,29350697117476e+02
20101100317;1,09869054618360e+02
20101100318;3,43752457444016e+02
20101100319;1,30071400871521e+02
20101100320;2,87716074416624e+02
20101100321;2,23755002116462e+02
20101100322;4,05517680315400e+02
20101100323;1,64876221401422e+02
20101100324;1,35953640690177e+02
20101100325;4,22777876195193e+01
20101100326;2,56647093441718e+01
20101100327;3,51396938746977e+01
20101100328;1,06924851292282e+02
20101100329;4,94008406963344e+01
20101100330;5,42741102500467e+02
20101100331;1,69507134649114e+02
20101100332;3,68957460589274e+02
20101100333;5,14984037274842e+01
20101100334;2,14165605202172e+02
20101100335;3,34556461624524e+02
20101100336;6,49992099484196e+01
20101100337;6,60290296206035e-01
20101100338;1,12599520715115e+02
20101100339;1,96225283604805e+02
20101100340;6,59228491024080e+01
20101100341;1,57443770392800e+02
20101100342;2,47365387128817e+01
20101100343;1,23987516772359e+02
20101100344;1,25241131486404e+02
20101100345;3,96276300909684e+01
20101100346;1,07153877832566e+02
20101100347;0,00000000000000e+00
20101100348;2,92609510591840e+02
20101100349;1,42280184352250e+02
20101100350;2,35173697273529e+02
20101100351;9,12764487146425e+01
20101100401;8,35509374725351e+00
20101100402;1,11034379085340e+02
20101100404;3,21259857325146e+02
20101100405;2,79214491993423e+01
20101100406;1,05573282642841e+02
20101100407;1,88353863463665e+02
20101100408;4,11868608981865e+02
20101100409;2,59384126256729e+02
20101100410;3,77602583884028e+02
20101100411;6,82617314736386e+01
20101100412;6,76358453873709e+01
20101100413;0,00000000000000e+00
20101100414;2,27133202036170e+01
20101100415;4,43889715789310e+01
20101100416;4,50650366648165e+01
20101100417;1,94091504108501e+02
20101100418;1,69703357457825e+02
20101100419;9,62062705299707e+01
20101100420;2,74177167374097e+02
20101100421;1,83540816140562e+02
20101100422;8,34343944573405e+01
20101100423;2,57304981332781e+02
20101100424;1,81525800117421e+02
20101100425;2,62745124118956e+02
20101100426;2,01225628335911e+02
20101100427;1,97580426941373e+02
20101100428;1,80585797720557e+02
20101100429;4,88329912653132e+01
20101100430;1,17250698440157e+02
20101100431;1,42829392320649e+02
20101100432;1,36193237477759e+02
20101100433;1,65738859173266e+02
20101100434;9,27653075510025e+01
20101100435;1,31961891799452e+02
20101100436;8,70398233690757e+01
20101100437;9,50671711003669e+01
20101100438;1,13506987325500e+02
20101100439;1,04983625330824e+01
20101100440;1,89771039301990e+02
20101100441;3,93732010716696e+01
20101100442;8,24362099730157e+01
20101100443;6,52864572439161e+00
20101100444;1,53884622863575e+02
20101100445;1,42421047636798e+02
20101100446;4,93507022312624e+01
20101100447;2,49639935354584e+01
20101100448;2,05971747123121e+02
20101100449;5,55898706668924e+01
20101100451;2,30282760128287e+00
20101100452;3,59791504436654e+01
20101100453;6,67862808576179e+00
20101100454;5,90280353784675e+01
20101100455;0,00000000000000e+00
20101100456;4,41812068270469e+00
20101100501;8,07958184377007e+01
20101100502;8,62429320419441e+01
20101100504;1,49549005521939e+02
20101100505;9,58924394477262e+01
20101100506;3,58578021983068e+01
20101100507;1,31838305870993e+02
20101100508;4,63351067930341e+01
20101100509;7,42250480391745e+01
20101100510;1,21039970474124e+00
20101100511;3,52992459635972e+00
20101100512;0,00000000000000e+00
20101100513;1,80772245654239e+00
20101100514;0,00000000000000e+00
20101100515;5,67386710059131e+01
20101100516;1,54211611038320e+02
20101100517;1,02506392932707e+02
20101100518;0,00000000000000e+00
20101100519;2,72950435216320e+02
20101100601;1,12290247799292e+02
20101100602;9,87628631128417e+01
20101100603;1,41365840520941e+02
20101100604;2,19818372867429e+02
20101100605;1,88228048742460e+01
20101100606;2,48445997682293e+00
20101100607;0,00000000000000e+00
20101100608;1,41324771068241e+00
20101100610;1,71789934465650e+02
20101100611;2,07515898769630e+02
20101100612;1,31854205196027e+02
20101100613;9,50716103579528e+01
