sa1_code_2021;LRT;subway;rail;bus;ferry;cable_tram;aerial_lift;funicular;trolleybus;monorail
20101100101;0,00000000000000e+00;0;0,00000000000000e+00;1,74245451478643e+02;0;0;0;0;0;0
20101100102;0,00000000000000e+00;0;0,00000000000000e+00;2,03249218172933e+02;0;0;0;0;0;0
20101100105;0,00000000000000e+00;0;0,00000000000000e+00;6,33455378032991e+01;0;0;0;0;0;0
20101100106;0,00000000000000e+00;0;0,00000000000000e+00;1,54856141774583e+02;0;0;0;0;0;0
20101100107;0,00000000000000e+00;0;0,00000000000000e+00;3,52763112118369e+02;0;0;0;0;0;0
20101100108;0,00000000000000e+00;0;0,00000000000000e+00;1,10445666351367e+02;0;0;0;0;0;0
20101100109;0,00000000000000e+00;0;0,00000000000000e+00;2,44631724034576e+02;0;0;0;0;0;0
20101100110;0,00000000000000e+00;0;0,00000000000000e+00;7,68531953983731e+01;0;0;0;0;0;0
20101100111;0,00000000000000e+00;0;0,00000000000000e+00;7,26755371096990e+01;0;0;0;0;0;0
20101100112;0,00000000000000e+00;0;0,00000000000000e+00;1,07993094463432e+02;0;0;0;0;0;0
20101100113;0,00000000000000e+00;0;0,00000000000000e+00;1,31394758569749e+02;0;0;0;0;0;0
20101100114;0,00000000000000e+00;0;0,00000000000000e+00;1,33120990589044e+02;0;0;0;0;0;0
20101100118;0,00000000000000e+00;0;0,00000000000000e+00;6,89625762632047e+00;0;0;0;0;0;0
20101100119;0,00000000000000e+00;0;0,00000000000000e+00;1,56974905151692e+00;0;0;0;0;0;0
20101100120;0,00000000000000e+00;0;0,00000000000000e+00;1,59345513311108e+02;0;0;0;0;0;0
20101100121;0,00000000000000e+00;0;0,00000000000000e+00;1,68546199579206e-01;0;0;0;0;0;0
20101100124;0,00000000000000e+00;0;0,00000000000000e+00;1,09734902778438e+02;0;0;0;0;0;0
20101100125;0,00000000000000e+00;0;0,00000000000000e+00;6,32075051018669e-01;0;0;0;0;0;0
