"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail"
"1","20101100101",0,0,0,70.1243929881519,0,0,0,0,0,0
"2","20101100102",0,0,0,54.373954639601,0,0,0,0,0,0
"3","20101100105",0,0,0,10.4636497680806,0,0,0,0,0,0
"4","20101100106",0,0,0,67.8352622678493,0,0,0,0,0,0
"5","20101100107",0,0,0,142.960309270973,0,0,0,0,0,0
"6","20101100108",0,0,0,34.6608711318669,0,0,0,0,0,0
"7","20101100109",0,0,0,116.442002401264,0,0,0,0,0,0
"8","20101100110",0,0,0,74.4744407391801,0,0,0,0,0,0
"9","20101100111",0,0,0,58.7681284945589,0,0,0,0,0,0
"10","20101100112",0,0,0,67.3524684261265,0,0,0,0,0,0
"11","20101100113",0,0,0,62.577544202373,0,0,0,0,0,0
"12","20101100114",0,0,0,83.7155602964783,0,0,0,0,0,0
"13","20101100115",0,0,0,0.617929202469201,0,0,0,0,0,0
"14","20101100117",0,0,0,30.5843944148824,0,0,0,0,0,0
"15","20101100118",0,0,0,22.2217044079179,0,0,0,0,0,0
"16","20101100119",0,0,0,1.36641420469648,0,0,0,0,0,0
"17","20101100120",0,0,0,41.5006548261845,0,0,0,0,0,0
"18","20101100121",0,0,0,33.1736604877725,0,0,0,0,0,0
"19","20101100122",0,0,0,0.43470405771906,0,0,0,0,0,0
"20","20101100123",0,0,0,6.02735601684993,0,0,0,0,0,0
"21","20101100124",0,0,0,44.2880420660273,0,0,0,0,0,0
"22","20101100201",0,0,0.484851085131945,36.9902044803558,0,0,0,0,0,0
"23","20101100202",0,0,0.555633605351691,82.1501134469772,0,0,0,0,0,0
"24","20101100203",0,0,18.0982747577792,137.290117090522,0,0,0,0,0,0
"25","20101100204",0,0,21.6703097647239,116.804626801536,0,0,0,0,0,0
"26","20101100205",0,0,0,117.653482758915,0,0,0,0,0,0
"27","20101100206",0,0,0,194.601629721998,0,0,0,0,0,0
"28","20101100207",0,0,0,253.464142283191,0,0,0,0,0,0
"29","20101100208",0,0,0,181.161498592015,0,0,0,0,0,0
