"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail","Total"
"1","20101100101",0,0,0,163.018871494294,0,0,0,0,0,0,163.018871494294
"2","20101100102",0,0,0,187.02915012096,0,0,0,0,0,0,187.02915012096
"3","20101100105",0,0,0,57.5823843573443,0,0,0,0,0,0,57.5823843573443
"4","20101100106",0,0,0,140.829205814592,0,0,0,0,0,0,140.829205814592
"5","20101100107",0,0,0,326.164328516432,0,0,0,0,0,0,326.164328516432
"6","20101100108",0,0,0,100.618983300617,0,0,0,0,0,0,100.618983300617
"7","20101100109",0,0,0,228.812923320177,0,0,0,0,0,0,228.812923320177
"8","20101100110",0,0,0,76.9136682732154,0,0,0,0,0,0,76.9136682732154
"9","20101100111",0,0,0,71.5630863528112,0,0,0,0,0,0,71.5630863528112
"10","20101100112",0,0,0,103.254079809581,0,0,0,0,0,0,103.254079809581
"11","20101100113",0,0,0,123.388194321106,0,0,0,0,0,0,123.388194321106
"12","20101100114",0,0,0,128.119726260018,0,0,0,0,0,0,128.119726260018
"13","20101100115",0,0,0,0.617929202469201,0,0,0,0,0,0,0.617929202469201
"14","20101100117",0,0,0.120572991019229,34.4225875221369,0,0,0,0,0,0,34.5431605131561
"15","20101100118",0,0,0,0.005461806092652,0,0,0,0,0,0,0.005461806092652
"16","20101100119",0,0,0,1.58660774836612,0,0,0,0,0,0,1.58660774836612
"17","20101100120",0,0,0,146.663639714058,0,0,0,0,0,0,146.663639714058
"18","20101100121",0,0,0,0.115487999022217,0,0,0,0,0,0,0.115487999022217
"19","20101100122",0,0,0,0.695759430542447,0,0,0,0,0,0,0.695759430542447
"20","20101100123",0,0,0,9.05904567576815,0,0,0,0,0,0,9.05904567576815
"21","20101100124",0,0,0,83.2693632023559,0,0,0,0,0,0,83.2693632023559
"22","20101100201",0,0,9.6431398830942,0,0,0,0,0,0,0,9.6431398830942
"23","20101100202",0,0,1.1210860972201,67.6577561999038,0,0,0,0,0,0,68.7788422971239
"24","20101100203",0,0,33.7301444318891,45.0526364608782,0,0,0,0,0,0,78.7827808927673
"25","20101100204",0,0,34.9999999999988,116.950070228339,0,0,0,0,0,0,151.950070228338
"26","20101100205",0,0,0,98.7557700101392,0,0,0,0,0,0,98.7557700101392
"27","20101100206",0,0,0,100.748672281686,0,0,0,0,0,0,100.748672281686
"28","20101100207",0,0,0,201.639295331258,0,0,0,0,0,0,201.639295331258
"29","20101100208",0,0,0,140.55321728801,0,0,0,0,0,0,140.55321728801
"30","20101100209",0,0,3.16471176034085,33.8233993531082,0,0,0,0,0,0,36.988111113449
"31","20101100210",0,0,0,38.9616110225801,0,0,0,0,0,0,38.9616110225801
"32","20101100211",0,0,0,75.1041824090546,0,0,0,0,0,0,75.1041824090546
"33","20101100212",0,0,0,443.613367567373,0,0,0,0,0,0,443.613367567373
"34","20101100213",0,0,0,440.863049410416,0,0,0,0,0,0,440.863049410416
"35","20101100214",0,0,0,207.457149108573,0,0,0,0,0,0,207.457149108573
"36","20101100215",0,0,0,240.676415525664,0,0,0,0,0,0,240.676415525664
"37","20101100216",0,0,0,149.665495153223,0,0,0,0,0,0,149.665495153223
"38","20101100217",0,0,39.6827695760616,727.999345855924,0,0,0,0,0,0,767.682115431986
"39","20101100218",0,0,3.0178876798627,581.826839234998,0,0,0,0,0,0,584.844726914861
"40","20101100219",0,0,48.7664232012431,1012.98807847396,0,0,0,0,0,0,1061.7545016752
"41","20101100220",0,0,40.4541198036403,190.918778937238,0,0,0,0,0,0,231.372898740878
"42","20101100221",0,0,30.2448206208258,442.174302442432,0,0,0,0,0,0,472.419123063258
"43","20101100222",0,0,0,189.187599526416,0,0,0,0,0,0,189.187599526416
"44","20101100223",0,0,0,271.419363960322,0,0,0,0,0,0,271.419363960322
"45","20101100224",0,0,0,462.466182012934,0,0,0,0,0,0,462.466182012934
"46","20101100225",0,0,19.7411417989469,210.987820162158,0,0,0,0,0,0,230.728961961105
"47","20101100226",0,0,24.8968242112681,1022.23040762626,0,0,0,0,0,0,1047.12723183753
"48","20101100227",0,0,0,314.102324435548,0,0,0,0,0,0,314.102324435548
"49","20101100228",0,0,0,339.399209714777,0,0,0,0,0,0,339.399209714777
"50","20101100229",0,0,0,410.992709821562,0,0,0,0,0,0,410.992709821562
"51","20101100230",0,0,0,133.452681463491,0,0,0,0,0,0,133.452681463491
"52","20101100231",0,0,0,309.751645719437,0,0,0,0,0,0,309.751645719437
"53","20101100232",0,0,0,317.732279147005,0,0,0,0,0,0,317.732279147005
"54","20101100233",0,0,0,547.375892869299,0,0,0,0,0,0,547.375892869299
"55","20101100234",0,0,31.1314145947868,742.075478329172,0,0,0,0,0,0,773.206892923959
"56","20101100301",0,0,0,0.499831572996103,0,0,0,0,0,0,0.499831572996103
"57","20101100302",0,0,0,246.113215423537,0,0,0,0,0,0,246.113215423537
"58","20101100303",0,0,54.2182220229098,701.976538542857,0,0,0,0,0,0,756.194760565767
"59","20101100304",0,0,0,244.554527808579,0,0,0,0,0,0,244.554527808579
"60","20101100305",0,0,0,300.8123758916,0,0,0,0,0,0,300.8123758916
"61","20101100306",0,0,0,114.650915743259,0,0,0,0,0,0,114.650915743259
"62","20101100307",0,0,3.61129898891031,281.494815167689,0,0,0,0,0,0,285.106114156599
"63","20101100308",0,0,0,169.112454094785,0,0,0,0,0,0,169.112454094785
"64","20101100309",0,0,0,10.4844183512758,0,0,0,0,0,0,10.4844183512758
"65","20101100310",0,0,0,164.392551993482,0,0,0,0,0,0,164.392551993482
"66","20101100311",0,0,0,0,0,0,0,0,0,0,0
"67","20101100312",0,0,0,0.192807083717916,0,0,0,0,0,0,0.192807083717916
"68","20101100313",0,0,0,40.9741183813194,0,0,0,0,0,0,40.9741183813194
"69","20101100314",0,0,0,86.7839492601045,0,0,0,0,0,0,86.7839492601045
"70","20101100315",0,0,0,65.4632590635314,0,0,0,0,0,0,65.4632590635314
"71","20101100316",0,0,0,129.350697117476,0,0,0,0,0,0,129.350697117476
"72","20101100317",0,0,0,109.86905461836,0,0,0,0,0,0,109.86905461836
"73","20101100318",0,0,0,343.752457444016,0,0,0,0,0,0,343.752457444016
"74","20101100319",0,0,0.403982404725203,129.667418466796,0,0,0,0,0,0,130.071400871521
"75","20101100320",0,0,0,287.716074416624,0,0,0,0,0,0,287.716074416624
"76","20101100321",0,0,0,223.755002116462,0,0,0,0,0,0,223.755002116462
"77","20101100322",0,0,20.7516386992201,384.76604161618,0,0,0,0,0,0,405.5176803154
"78","20101100323",0,0,0,164.876221401422,0,0,0,0,0,0,164.876221401422
"79","20101100324",0,0,0,135.953640690177,0,0,0,0,0,0,135.953640690177
"80","20101100325",0,0,0,42.2777876195193,0,0,0,0,0,0,42.2777876195193
"81","20101100326",0,0,0,25.6647093441718,0,0,0,0,0,0,25.6647093441718
"82","20101100327",0,0,0,35.1396938746977,0,0,0,0,0,0,35.1396938746977
"83","20101100328",0,0,0,106.924851292282,0,0,0,0,0,0,106.924851292282
"84","20101100329",0,0,0,49.4008406963344,0,0,0,0,0,0,49.4008406963344
"85","20101100330",0,0,60.9999999999964,481.741102500471,0,0,0,0,0,0,542.741102500467
"86","20101100331",0,0,16.3644941552076,153.142640493906,0,0,0,0,0,0,169.507134649114
"87","20101100332",0,0,23.4981494776546,345.459311111619,0,0,0,0,0,0,368.957460589274
"88","20101100333",0,0,0,51.4984037274842,0,0,0,0,0,0,51.4984037274842
"89","20101100334",0,0,0,214.165605202172,0,0,0,0,0,0,214.165605202172
"90","20101100335",0,0,0,334.556461624524,0,0,0,0,0,0,334.556461624524
"91","20101100336",0,0,0,64.9992099484196,0,0,0,0,0,0,64.9992099484196
"92","20101100337",0,0,0,0.660290296206035,0,0,0,0,0,0,0.660290296206035
"93","20101100338",0,0,0,112.599520715115,0,0,0,0,0,0,112.599520715115
"94","20101100339",0,0,0,196.225283604805,0,0,0,0,0,0,196.225283604805
"95","20101100340",0,0,0,65.922849102408,0,0,0,0,0,0,65.922849102408
"96","20101100341",0,0,0,157.4437703928,0,0,0,0,0,0,157.4437703928
"97","20101100342",0,0,0,24.7365387128817,0,0,0,0,0,0,24.7365387128817
"98","20101100343",0,0,0,123.987516772359,0,0,0,0,0,0,123.987516772359
"99","20101100344",0,0,0,125.241131486404,0,0,0,0,0,0,125.241131486404
"100","20101100345",0,0,0,39.6276300909684,0,0,0,0,0,0,39.6276300909684
"101","20101100346",0,0,0,107.153877832566,0,0,0,0,0,0,107.153877832566
"102","20101100347",0,0,0,0,0,0,0,0,0,0,0
"103","20101100348",0,0,0,292.60951059184,0,0,0,0,0,0,292.60951059184
"104","20101100349",0,0,0,142.28018435225,0,0,0,0,0,0,142.28018435225
"105","20101100350",0,0,0,235.173697273529,0,0,0,0,0,0,235.173697273529
"106","20101100351",0,0,0,91.2764487146425,0,0,0,0,0,0,91.2764487146425
"107","20101100401",0,0,0,8.35509374725351,0,0,0,0,0,0,8.35509374725351
"108","20101100402",0,0,0,111.03437908534,0,0,0,0,0,0,111.03437908534
"109","20101100404",0,0,0,321.259857325146,0,0,0,0,0,0,321.259857325146
"110","20101100405",0,0,0,27.9214491993423,0,0,0,0,0,0,27.9214491993423
"111","20101100406",0,0,0,105.573282642841,0,0,0,0,0,0,105.573282642841
"112","20101100407",0,0,0,188.353863463665,0,0,0,0,0,0,188.353863463665
"113","20101100408",0,0,0,411.868608981865,0,0,0,0,0,0,411.868608981865
"114","20101100409",0,0,0,259.384126256729,0,0,0,0,0,0,259.384126256729
"115","20101100410",0,0,0.839321497724298,376.763262386304,0,0,0,0,0,0,377.602583884028
"116","20101100411",0,0,0,68.2617314736386,0,0,0,0,0,0,68.2617314736386
"117","20101100412",0,0,0,67.6358453873709,0,0,0,0,0,0,67.6358453873709
"118","20101100413",0,0,0,0,0,0,0,0,0,0,0
"119","20101100414",0,0,0,22.713320203617,0,0,0,0,0,0,22.713320203617
"120","20101100415",0,0,0,44.388971578931,0,0,0,0,0,0,44.388971578931
"121","20101100416",0,0,0,45.0650366648165,0,0,0,0,0,0,45.0650366648165
"122","20101100417",0,0,0,194.091504108501,0,0,0,0,0,0,194.091504108501
"123","20101100418",0,0,0,169.703357457825,0,0,0,0,0,0,169.703357457825
"124","20101100419",0,0,0,96.2062705299707,0,0,0,0,0,0,96.2062705299707
"125","20101100420",0,0,0,274.177167374097,0,0,0,0,0,0,274.177167374097
"126","20101100421",0,0,0,183.540816140562,0,0,0,0,0,0,183.540816140562
"127","20101100422",0,0,0,83.4343944573405,0,0,0,0,0,0,83.4343944573405
"128","20101100423",0,0,0,257.304981332781,0,0,0,0,0,0,257.304981332781
"129","20101100424",0,0,0,181.525800117421,0,0,0,0,0,0,181.525800117421
"130","20101100425",0,0,0,262.745124118956,0,0,0,0,0,0,262.745124118956
"131","20101100426",0,0,0,201.225628335911,0,0,0,0,0,0,201.225628335911
"132","20101100427",0,0,0,197.580426941373,0,0,0,0,0,0,197.580426941373
"133","20101100428",0,0,0,180.585797720557,0,0,0,0,0,0,180.585797720557
"134","20101100429",0,0,0,48.8329912653132,0,0,0,0,0,0,48.8329912653132
"135","20101100430",0,0,0,117.250698440157,0,0,0,0,0,0,117.250698440157
"136","20101100431",0,0,0,142.829392320649,0,0,0,0,0,0,142.829392320649
"137","20101100432",0,0,0,136.193237477759,0,0,0,0,0,0,136.193237477759
"138","20101100433",0,0,0,165.738859173266,0,0,0,0,0,0,165.738859173266
"139","20101100434",0,0,0,92.7653075510025,0,0,0,0,0,0,92.7653075510025
"140","20101100435",0,0,0,131.961891799452,0,0,0,0,0,0,131.961891799452
"141","20101100436",0,0,0,87.0398233690757,0,0,0,0,0,0,87.0398233690757
"142","20101100437",0,0,0,95.0671711003669,0,0,0,0,0,0,95.0671711003669
"143","20101100438",0,0,0,113.5069873255,0,0,0,0,0,0,113.5069873255
"144","20101100439",0,0,0,10.4983625330824,0,0,0,0,0,0,10.4983625330824
"145","20101100440",0,0,0,189.77103930199,0,0,0,0,0,0,189.77103930199
"146","20101100441",0,0,0,39.3732010716696,0,0,0,0,0,0,39.3732010716696
"147","20101100442",0,0,0,82.4362099730157,0,0,0,0,0,0,82.4362099730157
"148","20101100443",0,0,0,6.52864572439161,0,0,0,0,0,0,6.52864572439161
"149","20101100444",0,0,0,153.884622863575,0,0,0,0,0,0,153.884622863575
"150","20101100445",0,0,0,142.421047636798,0,0,0,0,0,0,142.421047636798
"151","20101100446",0,0,0,49.3507022312624,0,0,0,0,0,0,49.3507022312624
"152","20101100447",0,0,0,24.9639935354584,0,0,0,0,0,0,24.9639935354584
"153","20101100448",0,0,0,205.971747123121,0,0,0,0,0,0,205.971747123121
"154","20101100449",0,0,0,55.5898706668924,0,0,0,0,0,0,55.5898706668924
"155","20101100451",0,0,0,2.30282760128287,0,0,0,0,0,0,2.30282760128287
"156","20101100452",0,0,0,35.9791504436654,0,0,0,0,0,0,35.9791504436654
"157","20101100453",0,0,0,6.67862808576179,0,0,0,0,0,0,6.67862808576179
"158","20101100454",0,0,0,59.0280353784675,0,0,0,0,0,0,59.0280353784675
"159","20101100455",0,0,0,0,0,0,0,0,0,0,0
"160","20101100456",0,0,0,4.41812068270469,0,0,0,0,0,0,4.41812068270469
"161","20101100501",0,0,0,80.7958184377007,0,0,0,0,0,0,80.7958184377007
"162","20101100502",0,0,0,86.2429320419441,0,0,0,0,0,0,86.2429320419441
