"","sa1_code_2021","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail","Total"
"1","20101100101",0,0,0,162.581299351526,0,0,0,0,0,0,162.581299351526
"2","20101100102",0,0,0,186.958173798199,0,0,0,0,0,0,186.958173798199
"3","20101100105",0,0,0,57.9195815853658,0,0,0,0,0,0,57.9195815853658
"4","20101100106",0,0,0,141.507050958297,0,0,0,0,0,0,141.507050958297
"5","20101100107",0,0,0,325.874086713359,0,0,0,0,0,0,325.874086713359
"6","20101100108",0,0,0,101.025357754348,0,0,0,0,0,0,101.025357754348
"7","20101100109",0,0,0,226.556291082011,0,0,0,0,0,0,226.556291082011
"8","20101100110",0,0,0,76.8531956975521,0,0,0,0,0,0,76.8531956975521
"9","20101100111",0,0,0,71.3699086874128,0,0,0,0,0,0,71.3699086874128
"10","20101100112",0,0,0,103.090548207837,0,0,0,0,0,0,103.090548207837
"11","20101100113",0,0,0,123.283648591938,0,0,0,0,0,0,123.283648591938
"12","20101100114",0,0,0,127.925915533198,0,0,0,0,0,0,127.925915533198
"13","20101100118",0,0,0,6.30229338289284,0,0,0,0,0,0,6.30229338289284
"14","20101100119",0,0,0,1.56974911345128,0,0,0,0,0,0,1.56974911345128
"15","20101100120",0,0,0,146.789379570169,0,0,0,0,0,0,146.789379570169
"16","20101100121",0,0,0,0.151691407304913,0,0,0,0,0,0,0.151691407304913
"17","20101100124",0,0,0,101.03528860794,0,0,0,0,0,0,101.03528860794
"18","20101100125",0,0,0,0.632075042061454,0,0,0,0,0,0,0.632075042061454
"19","20101100126",0,0,0.15038383564686,30.68442296921,0,0,0,0,0,0,30.8348068048569
"20","20101100127",0,0,0,0,0,0,0,0,0,0,0
"21","20101100128",0,0,0,21.495093273316,0,0,0,0,0,0,21.495093273316
"22","20101100129",0,0,0,0,0,0,0,0,0,0,0
"23","20101100130",0,0,0,107.239023200981,0,0,0,0,0,0,107.239023200981
"24","20101100131",0,0,0,6.23442215523195,0,0,0,0,0,0,6.23442215523195
"25","20101100132",0,0,0,7.81503312676523,0,0,0,0,0,0,7.81503312676523
"26","20101100133",0,0,0,0,0,0,0,0,0,0,0
"27","20101100134",0,0,0,41.7044345313408,0,0,0,0,0,0,41.7044345313408
"28","20101100135",0,0,0,0,0,0,0,0,0,0,0
"29","20101100136",0,0,0,0,0,0,0,0,0,0,0
"30","20101100137",0,0,0,14.1617884852691,0,0,0,0,0,0,14.1617884852691
"31","20101100138",0,0,0,0,0,0,0,0,0,0,0
"32","20101100139",0,0,0,1.26862882241279,0,0,0,0,0,0,1.26862882241279
"33","20101100140",0,0,0,47.4459990030394,0,0,0,0,0,0,47.4459990030394
"34","20101100141",0,0,0,0.299258189797094,0,0,0,0,0,0,0.299258189797094
"35","20101100142",0,0,0,0,0,0,0,0,0,0,0
"36","20101100201",0,0,9.73799063875075,0,0,0,0,0,0,0,9.73799063875075
"37","20101100202",0,0,1.16984131567537,67.3955325037741,0,0,0,0,0,0,68.5653738194495
"38","20101100203",0,0,33.7871179535436,45.2216074010644,0,0,0,0,0,0,79.008725354608
"39","20101100204",0,0,35.0000000000004,117.418901744317,0,0,0,0,0,0,152.418901744317
"40","20101100205",0,0,0,98.6319474172431,0,0,0,0,0,0,98.6319474172431
"41","20101100206",0,0,0,101.15815489049,0,0,0,0,0,0,101.15815489049
"42","20101100207",0,0,0,201.977765307395,0,0,0,0,0,0,201.977765307395
"43","20101100208",0,0,0,140.198919127294,0,0,0,0,0,0,140.198919127294
"44","20101100209",0,0,3.17298866052933,33.9688480641912,0,0,0,0,0,0,37.1418367247205
"45","20101100210",0,0,0,39.0505962359616,0,0,0,0,0,0,39.0505962359616
"46","20101100211",0,0,0,75.2092652392473,0,0,0,0,0,0,75.2092652392473
"47","20101100212",0,0,0,443.094817854693,0,0,0,0,0,0,443.094817854693
"48","20101100213",0,0,0,442.458201988062,0,0,0,0,0,0,442.458201988062
"49","20101100214",0,0,0,208.470792501964,0,0,0,0,0,0,208.470792501964
"50","20101100215",0,0,0,240.783500443545,0,0,0,0,0,0,240.783500443545
"51","20101100216",0,0,0,149.987644663787,0,0,0,0,0,0,149.987644663787
"52","20101100217",0,0,39.7333913573674,725.653410944837,0,0,0,0,0,0,765.386802302204
"53","20101100218",0,0,3.1204502837611,585.545245201936,0,0,0,0,0,0,588.665695485697
"54","20101100219",0,0,48.8637307949381,1015.0933944117,0,0,0,0,0,0,1063.95712520664
